"","confidence.Df","confidence.Sum.Sq","confidence.Mean.Sq","confidence.F.value","confidence.Pr..F.","X4399_20.Df","X4399_20.Sum.Sq","X4399_20.Mean.Sq","X4399_20.F.value","X4399_20.Pr..F.","X4582_20.Df","X4582_20.Sum.Sq","X4582_20.Mean.Sq","X4582_20.F.value","X4582_20.Pr..F.","X4582_22.Df","X4582_22.Sum.Sq","X4582_22.Mean.Sq","X4582_22.F.value","X4582_22.Pr..F.","X4606_20.Df","X4606_20.Sum.Sq","X4606_20.Mean.Sq","X4606_20.F.value","X4606_20.Pr..F.","X4625_20.Df","X4625_20.Sum.Sq","X4625_20.Mean.Sq","X4625_20.F.value","X4625_20.Pr..F.","X4625_23.Df","X4625_23.Sum.Sq","X4625_23.Mean.Sq","X4625_23.F.value","X4625_23.Pr..F.","X4660_20.Df","X4660_20.Sum.Sq","X4660_20.Mean.Sq","X4660_20.F.value","X4660_20.Pr..F.","X4672_20.Df","X4672_20.Sum.Sq","X4672_20.Mean.Sq","X4672_20.F.value","X4672_20.Pr..F.","X4686_20.Df","X4686_20.Sum.Sq","X4686_20.Mean.Sq","X4686_20.F.value","X4686_20.Pr..F.","X4399_22.Df","X4399_22.Sum.Sq","X4399_22.Mean.Sq","X4399_22.F.value","X4399_22.Pr..F.","X4606_23.Df","X4606_23.Sum.Sq","X4606_23.Mean.Sq","X4606_23.F.value","X4606_23.Pr..F.","X4660_22.Df","X4660_22.Sum.Sq","X4660_22.Mean.Sq","X4660_22.F.value","X4660_22.Pr..F.","X4672_23.Df","X4672_23.Sum.Sq","X4672_23.Mean.Sq","X4672_23.F.value","X4672_23.Pr..F.","X4686_23.Df","X4686_23.Sum.Sq","X4686_23.Mean.Sq","X4686_23.F.value","X4686_23.Pr..F.","X4333_20.Df","X4333_20.Sum.Sq","X4333_20.Mean.Sq","X4333_20.F.value","X4333_20.Pr..F.","X4333_23.Df","X4333_23.Sum.Sq","X4333_23.Mean.Sq","X4333_23.F.value","X4333_23.Pr..F.","X4575_20.Df","X4575_20.Sum.Sq","X4575_20.Mean.Sq","X4575_20.F.value","X4575_20.Pr..F.","X4583_20.Df","X4583_20.Sum.Sq","X4583_20.Mean.Sq","X4583_20.F.value","X4583_20.Pr..F.","X4626_20.Df","X4626_20.Sum.Sq","X4626_20.Mean.Sq","X4626_20.F.value","X4626_20.Pr..F.","X4646_20.Df","X4646_20.Sum.Sq","X4646_20.Mean.Sq","X4646_20.F.value","X4646_20.Pr..F.","X4666_20.Df","X4666_20.Sum.Sq","X4666_20.Mean.Sq","X4666_20.F.value","X4666_20.Pr..F.","X4692_20.Df","X4692_20.Sum.Sq","X4692_20.Mean.Sq","X4692_20.F.value","X4692_20.Pr..F.","X4583_22.Df","X4583_22.Sum.Sq","X4583_22.Mean.Sq","X4583_22.F.value","X4583_22.Pr..F.","X4626_23.Df","X4626_23.Sum.Sq","X4626_23.Mean.Sq","X4626_23.F.value","X4626_23.Pr..F.","X4646_23.Df","X4646_23.Sum.Sq","X4646_23.Mean.Sq","X4646_23.F.value","X4646_23.Pr..F.","X4336_20.Df","X4336_20.Sum.Sq","X4336_20.Mean.Sq","X4336_20.F.value","X4336_20.Pr..F.","X4579_20.Df","X4579_20.Sum.Sq","X4579_20.Mean.Sq","X4579_20.F.value","X4579_20.Pr..F.","X4579_23.Df","X4579_23.Sum.Sq","X4579_23.Mean.Sq","X4579_23.F.value","X4579_23.Pr..F.","X4584_20.Df","X4584_20.Sum.Sq","X4584_20.Mean.Sq","X4584_20.F.value","X4584_20.Pr..F.","X4584_23.Df","X4584_23.Sum.Sq","X4584_23.Mean.Sq","X4584_23.F.value","X4584_23.Pr..F.","X4611_20.Df","X4611_20.Sum.Sq","X4611_20.Mean.Sq","X4611_20.F.value","X4611_20.Pr..F.","X4647_20.Df","X4647_20.Sum.Sq","X4647_20.Mean.Sq","X4647_20.F.value","X4647_20.Pr..F.","X4668_20.Df","X4668_20.Sum.Sq","X4668_20.Mean.Sq","X4668_20.F.value","X4668_20.Pr..F.","X4693_20.Df","X4693_20.Sum.Sq","X4693_20.Mean.Sq","X4693_20.F.value","X4693_20.Pr..F.","X4336_23.Df","X4336_23.Sum.Sq","X4336_23.Mean.Sq","X4336_23.F.value","X4336_23.Pr..F.","X4611_23.Df","X4611_23.Sum.Sq","X4611_23.Mean.Sq","X4611_23.F.value","X4611_23.Pr..F.","X4647_22.Df","X4647_22.Sum.Sq","X4647_22.Mean.Sq","X4647_22.F.value","X4647_22.Pr..F.","X4668_22.Df","X4668_22.Sum.Sq","X4668_22.Mean.Sq","X4668_22.F.value","X4668_22.Pr..F.","X4693_22.Df","X4693_22.Sum.Sq","X4693_22.Mean.Sq","X4693_22.F.value","X4693_22.Pr..F.","X4325_20.Df","X4325_20.Sum.Sq","X4325_20.Mean.Sq","X4325_20.F.value","X4325_20.Pr..F.","X4325_23.Df","X4325_23.Sum.Sq","X4325_23.Mean.Sq","X4325_23.F.value","X4325_23.Pr..F.","X4393_20.Df","X4393_20.Sum.Sq","X4393_20.Mean.Sq","X4393_20.F.value","X4393_20.Pr..F.","X4393_23.Df","X4393_23.Sum.Sq","X4393_23.Mean.Sq","X4393_23.F.value","X4393_23.Pr..F.","X4398_20.Df","X4398_20.Sum.Sq","X4398_20.Mean.Sq","X4398_20.F.value","X4398_20.Pr..F.","X4502_20.Df","X4502_20.Sum.Sq","X4502_20.Mean.Sq","X4502_20.F.value","X4502_20.Pr..F.","X4502_23.Df","X4502_23.Sum.Sq","X4502_23.Mean.Sq","X4502_23.F.value","X4502_23.Pr..F.","X4556_20.Df","X4556_20.Sum.Sq","X4556_20.Mean.Sq","X4556_20.F.value","X4556_20.Pr..F.","X4556_23.Df","X4556_23.Sum.Sq","X4556_23.Mean.Sq","X4556_23.F.value","X4556_23.Pr..F.","X4563_20.Df","X4563_20.Sum.Sq","X4563_20.Mean.Sq","X4563_20.F.value","X4563_20.Pr..F.","X4563_23.Df","X4563_23.Sum.Sq","X4563_23.Mean.Sq","X4563_23.F.value","X4563_23.Pr..F.","X4605_20.Df","X4605_20.Sum.Sq","X4605_20.Mean.Sq","X4605_20.F.value","X4605_20.Pr..F.","X4655_20.Df","X4655_20.Sum.Sq","X4655_20.Mean.Sq","X4655_20.F.value","X4655_20.Pr..F.","X4658_20.Df","X4658_20.Sum.Sq","X4658_20.Mean.Sq","X4658_20.F.value","X4658_20.Pr..F.","X4670_20.Df","X4670_20.Sum.Sq","X4670_20.Mean.Sq","X4670_20.F.value","X4670_20.Pr..F.","X4678_20.Df","X4678_20.Sum.Sq","X4678_20.Mean.Sq","X4678_20.F.value","X4678_20.Pr..F.","X4678_23.Df","X4678_23.Sum.Sq","X4678_23.Mean.Sq","X4678_23.F.value","X4678_23.Pr..F.","X4679_20.Df","X4679_20.Sum.Sq","X4679_20.Mean.Sq","X4679_20.F.value","X4679_20.Pr..F.","X4682_20.Df","X4682_20.Sum.Sq","X4682_20.Mean.Sq","X4682_20.F.value","X4682_20.Pr..F.","X4398_22.Df","X4398_22.Sum.Sq","X4398_22.Mean.Sq","X4398_22.F.value","X4398_22.Pr..F.","X4605_22.Df","X4605_22.Sum.Sq","X4605_22.Mean.Sq","X4605_22.F.value","X4605_22.Pr..F.","X4655_23.Df","X4655_23.Sum.Sq","X4655_23.Mean.Sq","X4655_23.F.value","X4655_23.Pr..F.","X4670_23.Df","X4670_23.Sum.Sq","X4670_23.Mean.Sq","X4670_23.F.value","X4670_23.Pr..F.","X4679_22.Df","X4679_22.Sum.Sq","X4679_22.Mean.Sq","X4679_22.F.value","X4679_22.Pr..F.","X4682_23.Df","X4682_23.Sum.Sq","X4682_23.Mean.Sq","X4682_23.F.value","X4682_23.Pr..F."
"Group      ",1,1.9574226332981,1.9574226332981,0.643360456883407,0.42271065341288,1,91071442697683.4,91071442697683.4,1.54803926836366,0.213752701377299,1,90650406757228.4,90650406757228.4,2.27375690271446,0.131935463452733,1,89103939025618,89103939025618,2.03793734697871,0.153768322931572,1,36388359218164.4,36388359218164.4,0.912874430404201,0.33961233560918,1,14158090901414.4,14158090901414.4,0.47925164940128,0.488942057826778,1,47100194869012.1,47100194869012.1,1.5953927085338,0.206888152161841,1,27901460595508.7,27901460595508.7,1.06232253100927,0.302966074386566,1,28913123919516.6,28913123919516.6,0.987511063632368,0.320621547342075,1,46242154806309.5,46242154806309.5,1.38496450702074,0.239571961542333,1,15754964738387.5,15754964738387.5,0.988689248285204,0.320333200077303,1,27902601400803.9,27902601400803.9,1.34467333598279,0.246522492631639,1,19786197098928.6,19786197098928.6,1.13979874369828,0.285984356309123,1,46938957143579.8,46938957143579.8,2.22947267612562,0.135754456822089,1,29104114153408.7,29104114153408.7,1.46134546852675,0.227037219815131,1,20889338765460.6,20889338765460.6,0.822753016828795,0.364621992475066,1,7383583194266.66,7383583194266.66,0.433983154255965,0.51021130948245,1,10437664024378.8,10437664024378.8,0.444601003455153,0.505082884336331,1,26276609121054.5,26276609121054.5,1.16313612444615,0.281108290602064,1,18614269008746.7,18614269008746.7,0.706221749492783,0.40092666197369,1,26132112677701.1,26132112677701.1,0.883402647939418,0.347526428204472,1,62953876646462,62953876646462,1.55539958929739,0.212668168732653,1,49718942118561.7,49718942118561.7,1.72587806461447,0.189276699746288,1,28367522953186.6,28367522953186.6,1.69032902345335,0.193894193367366,1,24752047217017.1,24752047217017.1,1.14540927644016,0.284802370551103,1,32607021467346,32607021467346,1.54698537372688,0.213908529114134,1,19217731955091.7,19217731955091.7,0.724569827978189,0.394877964126212,1,8841228902430.68,8841228902430.68,0.339173178006089,0.560454372935809,1,71873063938207.6,71873063938207.6,2.48462494898206,0.115319114326428,1,39896049656737.4,39896049656737.4,1.5512926789348,0.213272506822374,1,100425306363653,100425306363653,2.25351961820527,0.13366556267957,1,16357281800902.3,16357281800902.3,0.73657742566293,0.390990528900449,1,33433965458783.7,33433965458783.7,1.069783914718,0.301275215119921,1,36008206741276.4,36008206741276.4,1.69487791425692,0.193296045474536,1,32652985300157.8,32652985300157.8,1.45706585120455,0.227718265627521,1,46715871199828.2,46715871199828.2,1.74806418488189,0.186459965637433,1,42631761245361.5,42631761245361.5,1.54998637323478,0.213465159649791,1,56032106718353,56032106718353,2.11468626663458,0.146244499285775,1,19476615897790.9,19476615897790.9,1.04139724627731,0.307774041989317,1,20147998196787.3,20147998196787.3,0.994343314932164,0.318954172389116,1,8336186842767.64,8336186842767.64,0.258328104973575,0.611397052615579,1,54074665282972.5,54074665282972.5,2.40607800918971,0.121220342244871,1,34466248294412.6,34466248294412.6,1.43778311066405,0.230817564769984,1,37323709698100.8,37323709698100.8,1.51047237516257,0.219391865037217,1,39805531641996.4,39805531641996.4,1.59304533642944,0.207222221720082,1,24166904932282.4,24166904932282.4,1.38304292814139,0.239897979224886,1,59950832882925.9,59950832882925.9,1.99778108525786,0.15787932269881,1,64968132695373.2,64968132695373.2,1.78948701175427,0.181330398638727,1,41673334505427.1,41673334505427.1,1.90985248261912,0.167326400164113,1,31236910314090.8,31236910314090.8,1.2042151629941,0.27277763570878,1,25510684106181.3,25510684106181.3,1.20982810380974,0.271663588644917,1,26851286008800,26851286008800,1.06521392788432,0.30230938999461,1,35624309135183.5,35624309135183.5,1.433420537492,0.23152580129468,1,14103837146299.7,14103837146299.7,0.547264353261832,0.459632720394617,1,31809929576074.2,31809929576074.2,0.961842690819117,0.326989566091785,1,23184899143733.8,23184899143733.8,0.780980282163609,0.377080157064191,1,28426678083927.2,28426678083927.2,1.12106134652761,0.289977307300508,1,21657087830419.5,21657087830419.5,0.896174795928354,0.344066412030686,1,52777183224787.7,52777183224787.7,1.31534319770608,0.251737741724443,1,18315263686141,18315263686141,0.900276578124477,0.342965124942109,1,30761348772073.3,30761348772073.3,1.35524710807314,0.244674873477424,1,28721419670985.7,28721419670985.7,1.60139515144894,0.206036799312107,1,31112098698683,31112098698683,1.31359794898753,0.25205231836317,1,50682326201727.3,50682326201727.3,2.30143220995674,0.12960986618849,1,20291665321585.6,20291665321585.6,1.04450724366933,0.307053232973963
"Residuals  ",890,2707.822846425,3.0424975802528,NA,NA,890,52358868187249152,58830188974437.2,NA,NA,890,35482624337552060,39868117233204.6,NA,NA,890,38913122550292336,43722609607070,NA,NA,890,35476554743489364,39861297464594.8,NA,NA,890,26292451821502560,29542080698317.5,NA,NA,890,26275144175596288,29522633905164.4,NA,NA,890,23375480802812712,26264585171699.7,NA,NA,890,26058118471824584,29278784799802.9,NA,NA,890,29715936812089880,33388693047292,NA,NA,890,14182331446897694,15935203872918.8,NA,NA,890,18467916766242272,20750468276676.7,NA,NA,890,15449846313138168,17359377879930.5,NA,NA,890,18737916057524360,21053838266881.3,NA,NA,890,17725214300385466,19915971124028.6,NA,NA,890,22596710216777756,25389562041323.3,NA,NA,890,15142037146956866,17013524884221.2,NA,NA,890,20894062113006768,23476474284277.3,NA,NA,890,20106143748973816,22591172751656,NA,NA,890,23458211857228876,26357541412616.7,NA,NA,890,26327270285416880,29581202567884.1,NA,NA,890,36022222585683424,40474407399644.3,NA,NA,890,25639041014988848,28807911252796.5,NA,NA,890,14936201815168560,16782249230526.5,NA,NA,890,19232707885525872,21609784141040.3,NA,NA,890,18759226556890196,21077782648191.2,NA,NA,890,23605428737982788,26522953638182.9,NA,NA,890,23199634385658984,26067004927706.7,NA,NA,890,25745143922510980,28927128002821.3,NA,NA,890,22888965233096736,25717938464153.6,NA,NA,890,39661745982417240,44563759530805.9,NA,NA,890,19764359177449244,22207145143201.4,NA,NA,890,27815177297895044,31253008199882.1,NA,NA,890,18908325921390284,21245310024034,NA,NA,890,19944985254520676,22410095791596.3,NA,NA,890,23784667478131660,26724345481046.8,NA,NA,890,24479097470506900,27504603899446,NA,NA,890,23582020541844992,26496652294207.9,NA,NA,890,16645125777889848,18702388514483,NA,NA,890,18033729523654588,20262617442308.5,NA,NA,890,28720089480090180,32269763460775.5,NA,NA,890,20002033150227360,22474194550817.3,NA,NA,890,21334901456632000,23971799389474.2,NA,NA,890,21991863060543912,24709958494993.2,NA,NA,890,22238490237057944,24987067682087.6,NA,NA,890,15551610837297454,17473720041907.3,NA,NA,890,26707751744940132,30008709825775.4,NA,NA,890,32311851228357604,36305450818379.3,NA,NA,890,19419964655577456,21820185006266.8,NA,NA,890,23086281450250232,25939642078932.8,NA,NA,890,18766722960894164,21086205574038.4,NA,NA,890,22434596396328132,25207411681267.6,NA,NA,890,22118864841847136,24852657125670.9,NA,NA,890,22936657550215452,25771525337320.7,NA,NA,890,29433957956883940,33071862872903.3,NA,NA,890,26421358783550356,29686919981517.3,NA,NA,890,22567670871053600,25356933562981.6,NA,NA,890,21507866832057548,24166142507929.8,NA,NA,890,35710598687839224,40124268188583.4,NA,NA,890,18106196558644332,20344041077128.5,NA,NA,890,20201187107545332,22697963042185.8,NA,NA,890,15962370988852246,17935248302081.2,NA,NA,890,21079332426767272,23684643176143,NA,NA,890,19599651957762976,22022080851419.1,NA,NA,890,17290049681961362,19427022114563.3,NA,NA
