metabolite,confidence,4399_20,4582_20,4582_22,4606_20,4625_20,4625_23,4660_20,4672_20,4686_20,4399_22,4606_23,4660_22,4672_23,4686_23,4333_20,4333_23,4575_20,4583_20,4626_20,4646_20,4666_20,4692_20,4583_22,4626_23,4646_23,4336_20,4579_20,4579_23,4584_20,4584_23,4611_20,4647_20,4668_20,4693_20,4336_23,4611_23,4647_22,4668_22,4693_22,4325_20,4325_23,4393_20,4393_23,4398_20,4502_20,4502_23,4556_20,4556_23,4563_20,4563_23,4605_20,4655_20,4658_20,4670_20,4678_20,4678_23,4679_20,4682_20,4398_22,4605_22,4655_23,4670_23,4679_22,4682_23
&beta;-ketophosphonate,7,3848.810791,3514.468506,1382.345581,5028.253906,5679.61084,4544.918945,2630.457275,5401.825684,3001.272705,1569.678467,2997.225098,1977.172852,1736.661621,600.6422729,6539.624023,890.1515503,12917.50781,4340.958984,7016.272949,4139.369141,2653.837158,2079.976074,1488.981201,11835.46777,2359.19751,7565.898438,9340.224609,3164.375977,2978.11792,3325.405273,6385.700684,6881.376953,5101.773926,8915.033203,3911.355469,3654.262939,3484.046875,351.2433167,7700.641113,3294.390869,3567.724121,2680.862305,1970.383301,2262.115967,0,1051.135864,3714.413818,618.4858398,5190.032227,2388.822754,2431.855957,2212.747559,2382.613281,3001.834229,2863.573975,2395.953125,617.9501953,3629.587402,3593.921631,1731.332764,1974.939209,2828.891602,5415.649902,2390.486084
&gamma;-thiomethyl glutamate,5,16637.91992,13342.55664,12276.77637,20977.97852,19568.86523,25454.90039,15480.01465,22984.65234,12721.39844,17021.66406,8611.447266,12156.30078,6943.549805,9225.4375,19821.75586,16192.39648,23544.81836,31272.07813,25026.98633,16178.69922,11499.49414,10249.7793,8995.010742,22845.96484,13950.01172,20519.06055,25685.6582,16049.20313,19344.72656,23515.47852,28478.30078,24201.9668,5030.72998,0,11431.07617,12453.23828,15361.7207,8591.698242,15811.05078,27643.87695,13547.71582,13789.84863,21680.32227,19375.19727,8357.68457,12054.0166,18178.77539,11089.95117,23551.91406,17756.24219,28289.35352,10848.55469,25575.87305,21405.49023,15506.72656,23630.91992,15542.32422,15205.56445,10569.26074,13855.71387,11593.4668,8417.355469,14733.45898,7908.053223
(+)-Luguine,5,27822.56836,64709.12109,52508.9375,48235.72656,41859.45703,40158.03906,41492.22656,45148.82813,68743.49219,13919.13086,27046.01758,25813.69141,13034.42578,34844.40234,32447.91797,31265.88086,35725.46875,26371.84766,44582.63672,32639.06055,48806.86719,60382.86719,26814.67578,23641.23633,29708.58398,42274.22656,50451.82813,38697.54688,22871.63281,43701.58984,31838.20703,65821.17188,33998.08203,34661.73438,20801.32813,38200.88672,29137.52344,23369.50977,24561.73828,45034.04297,35992.83203,32904.66016,44518.42188,24449.14453,19355.62695,51341.875,37070.23438,48789.4375,38552.14453,33299.57031,31524.36914,44724.66406,53701.48438,48643.45703,49083.71484,32308.68164,37265.07813,61115.38672,17932.65234,17491.11719,31249.41992,26642.64258,9212.575195,76232.24219
(10S)-Juvenile hormone III diol,7,114245.7813,35213.76172,141166.8125,32412.91602,97036.77344,214323.1875,31286.45703,48719.03125,114894,15677.08203,31315.0293,20372.63867,17552.05664,12119.10352,29750.43945,78484.24219,37478.55078,66986.09375,27465.16797,58932.76172,144179.9375,120940.2266,21189.0918,35123.70703,31541.0332,45045.83203,20805.19922,81851.36719,41666.55469,78950.08594,93158.32813,42120.51172,0,0,59062.77734,62289.74219,40379.83984,12906.08887,22993.51367,37378.85547,76914.32031,40003.73047,159052.8594,102312.7969,171782.0781,469375.75,81755.8125,96620.875,60412.76172,140288.625,184571.25,21969.93555,80432.99219,56001.62891,72046.22656,72899.69531,36724.82813,37725.07422,43260.92578,58675.29297,49702.61719,41063.91016,12016.34668,39504.48438
(1-Ribosylimidazole)-4-acetate,8,6380.288086,9974.855469,9260.724609,18029.53906,11056.08301,5547.720215,10402.24316,8133.972168,6982.596191,6117.483887,6470.868652,5718.374512,3941.370361,7473.365234,10738.51465,3428.743652,23567.76758,9871.650391,24878.55859,12991.67969,7241.35791,3230.748535,11188.66309,10065.02246,8261.206055,64397.60547,16385.85547,7952.681152,9082.663086,9262.251953,22264.7832,19056.7832,6315.635254,5847.312988,8371.830078,15971.10059,7928.112793,6179.47998,7596.591309,9941.111328,2157.383789,7600.175293,6957.71875,8189.303223,4325.953125,15531.75781,16408.50391,6330.665039,10292.00195,8288.125,23201.52344,7015.374023,5954.776367,7829.192871,8166.288086,6957.254883,20133.83594,7942.071777,8327.166016,10674.45215,7277.734863,9620.230469,11711.4873,10651.69922
"(1S,2R,4S)-(-)-Bornyl acetate",7,45216.36719,9888.714844,20032.88672,12953.94824,21710.23438,23063.71094,9089.561523,13103.06738,48047.70703,15403.20508,11509.55273,12730.95313,5671.068848,11228.03418,8984.541016,9017.518555,8019.786133,9902.487305,5623.286621,25654.17969,25317.47656,22887.70508,34207.5625,11789.78711,17147.42969,9650.577148,15008.72266,19812.32617,9732.746094,27848.60742,30626.27148,10101.42578,2771.101074,3006.029053,15765.53711,13187.78711,21822.01563,7172.837402,13530.1084,24342.32031,9858.255859,7969.674316,27414.31445,19191.01563,15786.53809,62110.60547,23615.68359,20571.50195,14613.93555,56201.05078,17322.98242,6329.458008,20035.87109,24541.54492,9567.042969,13000.9209,7197.298828,10084.25684,11642.43262,14735.52539,17041.58984,19542.81641,21631.40625,14603.60547
"(24R,24'R)-Fucosterol epoxide",7,1961443.25,1633905.5,3504197.25,1722361.875,1299572.375,2155919,1998464.625,2046453.375,949104,2407252.25,1582567.625,639772.375,2311271.75,1843110.25,2835973.75,1576119.375,3264875.5,1860661.75,2715013.5,1017961.875,1082239.5,1816109.625,620665.6875,1649175.875,1477859.5,1829528.5,1370623.625,2106077,3028556,1545703.875,2223048.25,3130425,2134883.75,983808.75,3099016,2850640.5,2163438.5,2882302,2077013.25,1401239.375,1773934.625,699079.375,2294876,2026235.375,2425665.25,2400757.25,3192059.25,3855515,3554396.25,1031541.063,2310207.75,2912228.25,1596691.875,1618929.5,1339928.5,1251976.75,1417828.25,1597501.625,2454708.75,1240602.625,1544401.625,1520147.25,767973.5625,1529265.75
(2S)-2-{[1-(R)-Carboxyethyl]amino}pentanoate,7,45992.76953,95804.57813,12310.7959,131697.8906,325938.4375,85434.57031,165921.4063,142462.375,90073.85156,9733.821289,11685.00586,17287.21875,5956.003906,10782.60156,135195.875,45068.82031,99579.39063,151968.7656,91737.09375,84718.95313,73825.46094,106961.6406,8508.870117,21466.76953,21312.58594,176656.125,85379.99219,37095.51953,64407.30078,30181.21875,134445.8906,110405.0938,43719.47656,56033.67969,11106.1875,12892.24707,14487.41113,14070.25781,18625.51758,205458.6563,50800.87891,94810.60938,32524.56445,127614.7891,102596.3672,12652.16602,160843.6563,25181.10742,46783.61719,69062.22656,113090.2969,147906.9531,157050.5,103728.4141,113079.6094,71975.22656,230597.2969,97257.3125,7706.433594,25047.16406,7559.311523,19077.83008,12694.68262,15850.13281
(3R)-hydroxy-N-acetyl-(L)-arginine,7,23994.87305,65678.78125,49122.69141,45696.10938,30323.86719,20542.3125,50518.1875,30086.51758,11459.97852,45245.55859,60065.24609,49816.76953,82805.03906,31244.29102,125906.5781,42208.38281,44400.04297,25198.68945,43387.78516,30691.24609,24801.25391,0,33172.19531,57272.92578,41375.93359,56933.23438,47624.73047,71312.48438,23498.13672,72898.32031,63750.94141,45190.36328,86758.28125,103708.4297,60390.90625,46426.00781,45675.66016,35801.40625,42907.17578,43967.13281,130033.2891,57194.88281,49486.41406,19509.28711,6757.647949,39963.93359,20052.12109,52132.01172,39879.02734,30748.08398,45599.80469,41116.85938,42230.52734,16533.27344,12232.5498,23563.87695,6973.239746,28582.87695,38959.33594,42207.02344,18119.375,50348.56641,70133.78125,32909.66406
(4E)-2-Oxohexenoic acid,5,27260.31836,18820.46094,22247.26367,30321.25781,20831.20703,38709.39063,29076.2207,22323.43555,23054.27148,15720.94043,14714.67383,21185.23438,21147.74414,15742.66016,29580.22266,22454.44727,54072.05469,29548.08984,22401.59961,16952.87305,18282.23828,26713.51953,18567.46875,15722.5957,24626.46289,43020.85938,17323.62305,28541.13477,28237.30664,41686.78516,22509.92383,34363.16797,13132.70215,13486.62598,14069.3291,21240.74414,17999.80078,18870.7207,10221.07617,31189.79297,110228.3359,10671.32813,23241.50195,26852.46875,9541.199219,19405.79492,22532.3457,20853.76563,18506.13477,153255.3125,12999.69531,20320.78125,26491.17383,19475.43359,30892.48047,116613.3672,13762.46582,37875.92578,10346.65723,21805.67383,13981.19629,26306.06836,19118.6875,11965.99902
"(8S,9S,10S)-8,10-dimethyl-1-octalin",5,6069.118652,7639.149902,10310.90625,9834.967773,11482.70508,16739.77344,7712.407227,10794.25488,12333.77539,4069.558838,5958.4375,6113.29541,4959.801758,6553.212891,10478.56152,5634.272461,11427.41016,10949.67676,11084.33887,6920.970215,26224.21289,7720.341797,9825.795898,5624.694824,9129.171875,11970.31641,9887.420898,9505.891602,13154.83105,7828.808594,5944.390137,9804.277344,12477.91992,7112.358398,8256.12207,6292.897949,3780.100586,3881.258789,5796.244629,8147.890137,9529.716797,6896.057129,7989.793945,10596.63965,5287.501953,8908.792969,6874.61377,6652.679199,5799.652832,4968.467773,10047.36621,7037.372559,10264.66992,8843.639648,9520.754883,11293.77148,8847.455078,9149.290039,9318.013672,6262.429199,5499.749512,4904.279785,5980.609863,4787.856445
(9Z)-Hexadecenoic acid,6,2345610.25,4310714.5,1500333.375,3209908.5,2931647.75,1359418,2568285.5,3647924.25,2461363.25,750157.0625,802756.75,1796434,1313001.125,764587.75,1734907.25,490163.5938,2564151.75,1344996.375,3364496.75,3988841,2392862.75,2187039.75,821152.3125,1446546.375,1118098.75,2913999,2333879.75,1486323.625,1649325,913278.875,2210109.25,2970736.25,1707387.75,876041.625,2009136.875,3684916,2895939.75,865104.5625,1200088.75,1382557.5,641875.875,1757206.625,691082.8125,2312161.5,1102700.5,1753282.375,2634633.5,533217.3125,2698563,407749.0313,1554412.5,2536701.25,1255644.25,3209984.5,2116790.25,976529,3716792.25,1499710.875,1528010.25,1700959.375,1504751.625,1293670.375,1305944.625,814661.5
(9Z)-Tetradecenoic acid,7,6409.913086,5129.173828,4542.413086,3523.42334,7925.091797,5414.804199,4789.456543,6976.115723,12407.88477,8019.379883,5469.450684,8562.724609,13379.85938,11779.51563,3244.608887,3389.065186,4597.996582,4553.458984,4009.712646,7157.12207,9121.845703,3999.444824,5309.71875,11599.62988,10529.80469,4520.109375,4073.675293,3416.23584,4560.139648,4521.065918,6742.187988,3764.830322,3529.696045,4154.746094,8040.523926,6899.557129,12301.9502,7429.964844,4117.003906,3836.835938,4869.281738,6333.429688,5340.914551,6232.78418,4496.813477,11054.0918,11427.22949,6019.025391,5461.064453,6924.407227,3848.25293,3447.811279,3586.385986,5747.274414,3933.149902,4252.181641,4074.29541,7337.757813,5521.333496,7714.04834,8764.125977,11150.44531,5960.412598,7320.424316
(R)-2-Hydroxyglutarate,8,150631.7813,196600.75,228344.1563,198666.5625,214929.4531,261111.0781,287261.75,191937.7813,129793.9297,133291.9531,145024,114820.0234,112096.2813,171734.4688,226828.0781,94415.79688,221054.1875,157817.4063,199550.3281,138761.1875,198233.2969,176442.5625,164393.9063,176380.2031,272637.8125,293832.75,239778.4375,189893.6875,165312.7656,247738.6094,186271.3281,336944.5625,95031.0625,100794.9141,173923.2344,251849.5625,167805.4219,98536.55469,113454.5938,273473.875,178826.2813,94259.71094,202052.0469,286718.9375,96968.69531,193791.4063,224320.3125,193275.2656,217849.1406,597643.875,194557.1406,193629.4844,229976.0781,182597.6406,415685.4063,325602.8438,100695.7656,229029.8281,130550.4531,169439.4688,168668.1719,251917,202843.1406,155254.2813
(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate,6,3477.619385,1448.725586,2579.290039,2910.180908,2758.41626,3500.575195,3179.603271,2576.320801,3920.547119,3329.034912,4654.993652,4590.180664,3451.209229,1924.473877,2122.731445,1492.599609,2939.101318,2655.058838,2053.768311,2191.246338,1747.886353,4740.803223,5888.72168,5666.150879,3507.392334,7353.33252,2050.688232,2984.191895,1620.952515,3933.170166,3503.700195,2436.341553,850.0967407,1388.618896,4782.710938,6183.879395,6559.029785,956.6296997,4458.791504,2908.851563,2181.944824,1492.225952,2103.023193,2797.020508,550.4974365,1859.519165,2674.831543,1799.005737,2709.693115,3930.988281,2531.89917,850.3265991,2473.337891,1624.666016,2185.722168,3235.927002,1124.563477,2780.029541,5424.873047,5585.820313,3553.514893,4133.585449,4698.14502,7389.005371
(R)-3-Hydroxybutanoate,10,4699890.5,2192337.25,4772326.5,1473717.25,3278398,2596082.75,2756473.25,2449913.25,5033308,11352261,4186110.5,5720612,3212345.5,7497737.5,5087834,3252738,4521170,2972006.25,6937394,3490416,5203102.5,6453048.5,7275025,9861068,4052822.75,2244643.75,1931735.75,1995555.375,3894594.25,3011104,3489623.25,2625978,864982.6875,651743.6875,9496252,8585667,5629341,5762026,4247196.5,3435643.25,1757587.125,3780914.25,4815068.5,7717218,3202813.75,7751068.5,4448260.5,3399315.25,2919027,3515796,2900659.75,2114920.5,2844239.5,3873632.75,3010428.75,3102180,2215596.25,2189411.75,6205000,5671859,10916809,9142045,5032731,12542883
(S)-1-Pyrroline-5-carboxylate,8,336376.0938,79496.11719,200389.0938,323474.6875,380173,212583.9219,297605.4063,298505.5,365322.4688,53578.37891,119017.3672,92268.13281,50934.35547,96418.0625,168713.2188,222126.0781,259269.5625,234422.8906,288978.0938,581385.75,282039.9688,247065.3438,94337.67969,94949,109468.2813,297661.6875,370688.5625,189455.4063,127129.1563,114213.4609,410682.875,336031.0625,148799.3281,81965.33594,91444.84375,69504.05469,91691.71875,257740.875,81980.28906,475131.3125,142635.1406,185800.7969,275559.75,480439.5625,363091.625,201042.2031,344783.0313,138257.0938,352929.5313,274358.5625,258700.3438,167934.3438,362051.3438,302784.2813,259123.7344,209306.2656,379026.2188,218219.2031,135818.8281,79939.88281,89087.19531,116565.375,69226.6875,105557.5938
(S)-2-Aceto-2-hydroxybutanoate,8,5441.786133,6702.853027,4499.958496,8192.422852,6989.881836,6421.036621,11006.88379,4743.664551,4465.198242,4722.07373,6998.727051,7054.457031,4718.21582,5695.183594,8241.766602,5078.104004,10614.69238,5190.124512,4711.814941,4841.458984,4616.307617,6879.155762,5759.26709,5593.662598,6971.426758,128159.125,4917.135254,7433.431152,8640.639648,4149.462402,4413.411621,6558.507813,2266.314941,2987.17749,4862.457031,10484.67188,7473.123535,3131.105957,9482.736328,7291.159668,5632.114258,5504.80957,4138.291504,9678.751953,2840.533936,5553.507324,5764.505371,5835.899902,10693.49805,10351.96777,6860.697266,4096.357422,5706.492676,6597.109375,6928.95752,6755.70752,5130.79541,4581.879395,14575.79492,11904.68359,4014.992676,8845.595703,8765.75,4813.906738
(S)-3-Methyl-2-oxopentanoic acid,8,1083368.875,1469193.375,880525.375,834031.6875,862736.5625,766956.4375,1196020,976978.9375,1263829.75,1170098.5,1067203.25,990065.3125,1318351.25,791254.0625,1769775.375,635992,1136468.75,1583726,1645159.625,920278.875,1094040.25,1653166.625,1183802.625,1661545.625,1199713.875,881924.75,1015689.188,516280.7813,1712648.75,1247659.5,965203.0625,1537689,1371255.75,1340326.5,1250885.125,1322306.75,1174363.25,648481.6875,1645805.375,934231.8125,866234.5625,1569802,1379321.625,1543880.5,405579.7188,929123.875,941136.4375,571200.0625,1332108.25,1250194,1331875,1526526,1465846.375,1046246.438,1957267,1153306.125,708849.9375,1340246.5,1436792.5,1613229.125,1049832.5,1089326.5,1099752.875,1023028
(S)-ATPA,7,12422.26074,9957.527344,7396.95166,26357.58789,39223.25,9006.504883,19640.13672,14154.73047,16234.88477,13319.92578,18546.32617,29844.14453,17563.41797,14158.06543,17957.90039,4370.590332,37339.39453,8654.541016,24902.74219,16190.47461,18777.91406,18829.3418,5145.435059,13477.19238,17760.32813,70945.73438,27144.86523,6345.990723,40437.83203,27139.73242,41838.35938,32742.35742,19672.49219,12376.60254,6023.630371,4851.44043,18831.12305,10362.49805,24949.36133,22249.73047,5281.937012,11208.46191,7400.73291,43548.07422,9153.073242,13038.36035,26329.75195,5481.240723,14962.78906,9579.202148,13446.74316,24774.93555,21799.4668,25798.20898,19008.80664,10502.2002,10864.4082,12370.28027,11010.19824,7793.782227,16139.77832,51275.83594,21982.28125,20393.06055
(S)-Carnitine,5,1461.15625,1816.686768,1464.235962,1151.53833,3363.605713,3123.340332,2628.669434,1953.72876,1444.683472,2810.072998,1232.656128,1402.215698,1607.181641,2737.54834,1125.678101,743.7600098,2429.210205,1706.846191,1912.103394,2168.378906,1634.977417,1976.723267,1834.047607,2662.835205,1382.029053,2133.010742,1823.723389,1696.63855,1898.959229,2228.957031,1944.374512,2976.759521,1510.119629,927.7857666,1473.186279,1442.660645,2735.990479,2708.291016,1628.019531,2239.943604,970.1104126,1135.247314,1616.653442,2081.521484,911.1211548,1578.229858,3930.054688,1438.984741,1716.389282,2854.178711,1464.185669,2415.560059,1179.867554,2469.659424,2025.042847,1167.579834,1004.320129,1465.793457,1617.983154,1373.327515,2070.874512,1551.326904,2937.700684,1693.302002
(S)-Dihydroorotate,8,899.0080566,337.2010803,1128.098633,3187.634521,1175.555786,1206.603271,782.4558105,1143.520386,545.1500854,583.8937988,1502.711548,1478.696411,0,863.105896,0,600.1779175,0,2097.978516,0,762.6980591,1001.480774,979.8937378,7604.624512,1125.134644,720.1115723,1319.869507,1150.280151,1581.881592,699.4365234,1121.954834,910.7437744,0,237.2178345,0,0,1456.246094,1236.512939,0,1811.664551,840.0003052,1239.496826,757.5656738,394.0838013,828.2423706,204.6746521,505.7806091,1414.238525,719.0021362,0,2003.311768,1472.499268,0,2236.506836,787.131897,1632.724365,2676.740234,1073.053467,1301.408691,1106.995728,3017.851074,1573.478149,2271.856445,2065.714111,1492.082764
(S)-Malate,10,4931655.5,6373354,7053146.5,5178655.5,8267440.5,8130237,11429975,6679102.5,3545495.5,4096232,4004116.25,3886751.75,5027583.5,4896893,7385570.5,2985513.5,5876087.5,5863190,6268343,7376829.5,8767581,7920376.5,6389899.5,7839117,10221232,9532525,4639468.5,6475718.5,5999747.5,11026062,5111668.5,10663594,3132006.25,4111085.25,6237110.5,7407404,6915933.5,3509635.75,3667691,10138295,6623472.5,3548467,7864819.5,11976574,3155411.75,5046185.5,7189182,5650993.5,7469236,14402778,6611940.5,6835990.5,10006220,7185597.5,10081571,7964874.5,3207290.5,7541869.5,5772596,7602436.5,6477815.5,8100564.5,15293605,4274259.5
[6]-Gingerol,7,128586.9141,106975.3984,268926.3438,135499.7656,318865.0938,395779.9688,180562.0781,173866.8906,113607.5859,424857.2813,340802.5,460497.8125,307690.7188,293131.5,212920.4063,256107.4688,140188.2813,146795.625,118994.5,229059.5938,251275.4063,98308.02344,312058.4063,373150.5313,510639.1875,184747.7031,120154.1563,318301.8438,163957.9063,273831.75,71182.40625,155359.5469,126708.9531,120050.4141,193281.2188,241357.4219,317533.5938,365995.2813,171902.8906,91131.60938,220497.7188,262459.375,294217.2188,131181.5313,105808.4531,316133.75,180997.8438,303522.2813,160251.1875,604408.9375,146706.2969,112213.0469,237389.2969,126347.6172,118473.3047,189189.9531,150253.5313,164566.4375,359936.5313,388301.4375,290442.0313,402950.125,226120.8906,191226.4219
[FA (10:0)] 10-bromo-decanoic acid,7,11692.94141,11242.80469,9431.885742,29476.12695,24423.00586,10304.53809,8837.955078,19340.91797,8887.160156,8335.96875,9998.537109,14302.42188,8102.971191,8009.458008,15165.46973,4914.902832,21022.49805,12098.8252,19295.78516,21727.29297,13617.08594,13977.66309,6279.591309,12749.89551,9960.999023,31401.48828,35504.85938,8164.835449,9184.271484,9070.738281,27589.25977,28172.4707,8328.950195,10437.37207,13929.72461,23701.38672,13991.71387,3285.293457,12148.99121,58417.53516,5328.583984,10950.64941,9293.142578,17543.98633,3494.118896,9287.519531,21211.82422,6748.060547,11412.29297,7056.271973,14597.81641,14227.53223,11067.22266,6112.8125,16058.74023,10524.19824,6974.981445,10181.40625,7457.847656,10353.76758,9223.165039,11051.99023,4295.177246,10567.52734
[FA (10:0)] O-decanoyl-R-carnitine,7,0,0,0,0,67461.78906,60880.61719,62209.01172,0,0,60072.875,0,45489.84766,0,0,0,46162.58203,0,0,0,42845.84375,47057.36719,26677.77539,77483.94531,83267.67969,50146.05469,25772.58203,0,0,32157.61328,35651.97266,0,0,0,0,63718.8125,46432.67578,84147.05469,0,47989.5,0,0,0,0,44774.57813,0,61828.99609,36154.33984,0,0,50852.74219,0,0,24555.94336,50851.30078,32562.53906,42507.34766,0,21361.32031,41070.19141,60186.37891,74875.82813,52434.40234,62206.94141,81673.04688
[FA (10:0/2:0)] Decanedioic acid,5,45959.45703,29587.13086,15707.66992,31222.5332,28386.58789,71486.35156,31191.79297,37412.42578,42691.09766,19969.71875,30208.39063,27907.22852,17871.61914,9693.568359,35220.36328,15714.06445,31625.85352,26757.22461,19025.89844,50104.48438,47172.41406,34935.98828,25174.23047,35753.3125,20452.76758,240289.6563,24151.58008,42389.95313,24634.30078,72798.35938,20931.21484,24945.11523,10549.75977,10229.39648,25213.04102,41899.25781,46608.09766,4566.24707,26797.83789,24710.40039,19396.58398,22240.2207,20241.74219,63675.29297,4679.913574,37474.52734,34680.19531,19901.74609,35154.48047,39488.75,33285.05078,12289.75098,31047.62305,19751.5332,38035.46094,25946.1875,6779.375977,50199.34766,27509.43555,23264.01563,22731.58008,50346.83594,25397.78125,53207.43359
[FA (10:1)] 4-decenoic acid,5,10841.4873,9116.533203,10172.89063,10968.02148,11653.43066,18995.23828,13435.93359,11506.08008,10902.10547,7084.633789,9630.018555,7103.780762,7145.654297,5248.589844,10185.44531,7367.999023,10504.28613,10730.44824,11330.80371,9281.773438,24571.38867,7753.045898,5412.300293,7524.172363,8838.349609,16972.35352,10055.65723,9378.68457,13540.10352,10360.51758,9059.416016,10900.58008,17158.85156,8339.807617,8788.21875,11714.59863,7810.373047,5411.78125,8694.425781,13365.76563,10212.2627,9050.823242,9314.600586,10440.27246,7296.509277,10231.91797,8439.68457,6910.42041,9044.276367,6269.839844,11457.77832,12918.59863,8267.421875,8161.978027,10587.79004,9945.682617,9443.40918,12314.2207,7211.359375,8974.335938,6864.162598,9985.56543,6490.007813,9941.210938
[FA (10:1/2:0)] 2E-Decenedioic acid,7,16723.55078,8845.864258,9026.398438,8543.198242,9878.624023,41127.11719,7178.791992,15047.69727,13782.61621,12552.76953,10886.45215,11423.15137,6589.53125,15951.90234,12183.18164,7012.226563,6134.148438,7617.478516,5590.420898,12045.97949,10360.89941,20474.2207,31135.88672,18978.20313,11546.15039,35121.89453,6596.868652,20995.23242,7386.041016,20792.83594,6172.672363,6394.668457,3534.405273,5066.619141,7138.67041,13766.00586,18572.94336,4032.204346,9523.217773,7299.217773,10535.12207,7442.817383,10169.49707,19705.37891,3752.250977,19548.18945,8268.391602,7608.999512,10645.83496,21207.67578,10524.13867,4533.244629,14336.66895,4796.463379,14416.3877,8998.009766,3334.133057,18190.97266,14327.89844,23348.77539,8873.850586,11270.44824,21950.26953,18460.1582
[FA (11:0)] undecanoic acid,5,50834.39063,58376.82813,46019.52734,68336.125,76962.50781,30131.5957,61174.70313,72064.19531,55684.04297,28893.67773,29994.44922,35475.66797,41165.92578,24364.77539,78971.39844,26593.12695,65034.0625,39424.59766,85572.00781,74845.82813,71172.35156,29250.44531,38497.42578,55054.83984,39324.26563,89836.92969,72524.17969,50142.3125,50536.94141,34019.70313,34954.55859,75478.74219,32479.95117,38076.53516,50474.24219,49442.17969,50789.13281,16037.73535,46883.48828,90868.78125,56772.58984,53762.22266,43541.45313,64994.53125,28472.27148,39917.56641,55657.42188,30806.55469,55736.95703,38592.80469,56085.78516,48144.44922,51415.32031,41791.61328,85600.5625,44765.13672,39539.45313,64003.14844,43456.38281,49926.8125,40943.32422,56776.77734,60695.08984,31274.29492
[FA (11:1)] 10-undecenoic acid,7,13863.29004,23173.81641,13729.41504,20066.29883,54467.96484,11579.82715,20467.84375,44698.43359,34421.46094,7189.444336,10705.77539,13000.4082,15758.10547,7639.908203,21244.09375,5288.685059,27696.44922,22013.45117,35722.16016,35661.73047,15301.79688,16039.50195,12674.70996,8287.924805,11323.53027,48420.82031,27431.22656,9305.383789,15349.71094,8296.410156,22859.72461,26870.60352,17622.77734,7422.799805,18042.00195,24753.11523,21392.61914,6131.754883,12850.96973,19296.97656,11209.94922,17711.38281,10895.47949,24934.9375,9151.925781,14507.58105,29233.20117,7744.260742,24956.79297,7447.970215,21038.2793,19404.50586,19513.58984,20705.07617,23159.85938,13734.45313,14466.5459,11275.99707,12764.58105,12496.56543,14330.45508,12311.50195,16010.24902,10385.24414
"[FA (11:2)] 2E,4E-undecadienoic acid",5,11066.70215,11976.33984,15975.68652,11692.78711,11702.19238,20550.46875,10881.22363,10331.73926,11222.81738,5484.04834,8870.313477,9128.96582,8030.264648,5902.912109,11942.89551,8511.130859,14097.72754,14469.00293,12046.74316,9682.583984,28981.65039,12145.14063,11986.66211,6478.789551,10343.30371,17533.4082,9118.985352,10589.95117,18076.38672,13054.70898,7405.236816,15355.07031,18154.77734,11468.7832,7292.25,12790.07227,10246.16602,5088.71582,11252.87109,11748.72559,13100.95508,10216.45508,15462.29688,10822.93848,6472.48877,11902.11035,8273.475586,8818.505859,8004.150391,9110.222656,15203.4707,9441.640625,10131.06836,11500.94727,7909.734375,9565.082031,8100.694336,14011.67383,8175.335938,10600.72363,8924.380859,8970.594727,12444.27441,6616.59375
"[FA (12:3)] 3,6,8-dodecatrien-1-ol",7,10483.11914,8491.292969,12544.10742,13389.92188,15884.58984,13272.96875,9367.931641,14319.00781,15737.93262,3891.04248,5902.771973,4318.621094,4563.454102,5090.459961,8075.888672,3862.259033,8735.34082,13592.2998,7867.502441,11625.1543,19614.95703,8290.119141,6430.993652,7949.135742,7674.150879,9617.630859,6141.693359,8955.450195,11244.97656,11385.06836,9134.526367,8441.270508,5891.155762,6596.103027,7301.630371,9677.100586,7205.632324,4798.388184,7280.024414,7735.837891,8895.65625,7844.351563,10588.85352,14902.10156,9771.894531,15766.4873,18050.55078,11338.06836,6885.409668,8429.379883,9648.84082,7142.115234,15227.4707,14588.58301,10884.17871,8526.139648,9998.554688,14073.57031,6614.560547,7327.148926,9416.042969,6027.605957,6102.068359,4717.875488
"[FA (12:4/2:0)] 2E,4E,8E,10E-Dodecatetraenedioic acid",7,13621.61621,22200.14063,20788.92773,16963.44531,36417.8125,23327.98438,17123.66406,18830.22656,25984.61523,29899.88281,16312.52441,16739.70117,13405.05371,7211.946777,33869.5625,12467.58105,50441.55078,39636.88281,29329.32617,12316.94531,13308.74219,23167.94727,24540.52539,13084.4082,22734.79688,71022.85938,35172.69141,15074.2207,28586.08008,16333.90137,17257.12305,44498.49219,10036.13086,16944.33984,12700.61523,14850.26172,14126.69629,19220.72852,22277.83789,24772.96484,12923.47461,21164.54883,26540.80078,20779.54883,14649.84863,14525.08301,14019.32617,12052.68945,35069.64453,22668.67773,29866.29688,27369.44531,10264.26465,11170.14355,22624.36328,4935.802734,5034.522949,22471.60156,21372.08984,22477.67969,17239.63086,13922.24316,14421.6709,7123.422363
