metabolite,confidence,4399_20,4582_20,4582_22,4606_20,4625_20,4625_23,4660_20,4672_20,4686_20,4399_22,4606_23,4660_22,4672_23,4686_23,4333_20,4333_23,4575_20,4583_20,4626_20,4646_20,4666_20,4692_20,4583_22,4626_23,4646_23,4336_20,4579_20,4579_23,4584_20,4584_23,4611_20,4647_20,4668_20,4693_20,4336_23,4611_23,4647_22,4668_22,4693_22,4325_20,4325_23,4393_20,4393_23,4398_20,4502_20,4502_23,4556_20,4556_23,4563_20,4563_23,4605_20,4655_20,4658_20,4670_20,4678_20,4678_23,4679_20,4682_20,4398_22,4605_22,4655_23,4670_23,4679_22,4682_23
Glycylproline,7,7629.525391,14374.46973,15086.3125,27665.91211,32043.14453,15836.83789,16782.5332,19542.06055,11346.13965,11970.63477,10044.27051,16801.56836,18715.02734,15100.78418,18624.33984,12733.8584,61425.66797,15121.3418,21049.85352,16612.53125,9907.879883,12080.5459,12119.13086,16470.06055,23530.03125,199818.8438,72633.42969,17664.47461,10479.10059,24416.03125,68012.91406,13786.93262,10091.57031,14804.53125,15690.91895,17425.13672,14158.9209,12436.6377,12735.76758,57014.77734,14519.49902,10246.24414,30849.62109,10686.12988,5482.458008,10430.68359,9033.557617,10662.07813,15522.23926,13494.39941,11433.17285,17204.36719,21608.7832,15803.08105,18614.4082,29676.45117,8010.814453,11234.29395,18615.57227,16081.56152,18083.91992,18737.5625,37308.67969,17492.85938
Grepafloxacin glucuronide,5,0,0,14754.85938,875.703186,0,32011.25195,0,29972.19336,0,11944.41406,71729.57031,8192.175781,98511.77344,83143.86719,17555.21094,12247.12305,0,0,0,0,0,4287.881836,7145.952637,0,101957.1953,0,0,168579.6563,0,53801.41016,0,32178.44727,37777.51953,0,59581.42578,24274.41406,39009.82031,23288.51758,0,0,82020.16406,0,0,0,0,11438.80469,17262.76367,70524.64844,12489.49707,0,0,65357.45703,0,0,0,0,0,0,0,0,16341.07813,39587.82813,93834.94531,0
Guanidinoacetate,8,39688.375,156158.875,80131.73438,138388.8594,122410.8594,80470.625,98805.59375,214901.5781,48401.75,19624.125,14821.10059,25815.59375,36001.50391,20699.02734,52928.71875,18674.125,204530.375,150238.625,163896.125,238571.7813,53589.31641,30539.55078,27288.68359,70177.15625,77008.96094,79793.48438,135767.5938,41583.8125,51665.90234,47368.20313,154861.6563,352814.5938,64914.125,60640.58984,14221.2959,36784.55469,63134.25391,16774.26172,21871.63281,246690.0781,50092.35938,87485.5625,154124.3594,103571.6094,27287.92383,24813.3418,134397.875,67995.875,95914.75,118810.6016,119900.7734,180952.6875,89400.27344,164877.2344,147796.2656,198413.3438,96692.88281,68529.75,47117.25781,47095.71875,39317.13672,47944.68359,28557.91406,33005.26953
Guanine,10,293721.5625,412440.8438,1523560,146655.125,200569.1563,1242012.875,532185.0625,419420.9063,177360.3125,1712813.375,1521206.375,914282.9375,2508531,1235030.875,1114692.5,587762.25,523432.75,211026.3281,432090.3438,124276.0859,268807.0313,873169,1040616.625,2953199.25,1353529.375,242287.5781,85644.51563,1620470.75,211301.5,2151279.5,139557.4219,856783.8125,295495.25,193426.75,2369407,1168082,1594690.875,1261148.375,1027064.688,156920,1501692.25,113221.8125,732533.75,354900.2813,134190.8438,943026.3125,309894.5313,1183944.75,918543.75,523009.5313,318779.9688,929228.125,203967.2188,129401.75,198127.7031,557841.0625,127373.25,339147.25,1127113.75,513171.875,1181882.625,2105080.5,1883332.5,805984.375
Guanosine,8,229243.625,393109,906514.1875,106253.4766,161139.6563,742204.1875,426038.2188,339244.5,144163.1563,1224139.5,881451.3125,548890.3125,1767187.375,714515,1017788.813,408857.7813,432003.2813,157884.2344,415086.625,107392.1484,202739.25,637227.25,396717.125,1555800.25,691161.875,151016.9063,44708.51953,1112305.25,173760.2344,1016853.5,128977.2266,765622.0625,169226.7969,158445.9531,1958082,543041.6875,732791.875,900115,428884.0313,107085.2578,643808.25,81403.57813,557416.375,279193.0625,123480.4688,525258.0625,249325.9531,728085.8125,811088.25,224546.3906,262006.1094,728437.1875,139054.4844,92637.50781,193478.1875,346661.375,112918.6797,307911.375,784120.75,246725.7344,407758.9063,826589.5,965725.75,314341.7188
H2S2O3,3,1147.425537,25443.26563,8421.164063,28968.79688,20504.10352,18120.22461,16962.64453,37346.97266,453.7849121,0,1104.50647,994.2788696,1014.314331,0,29743.94727,3786.932861,33852.66797,7992.32959,10762.19824,10128.34277,0,0,0,3960.968994,1888.164307,46952.70703,45892.91406,26319.7793,1345.335449,25320.79688,21941.92969,28383.00195,9824.794922,9941.279297,2503.174316,3307.741455,4675.989746,0,1108.406616,23676.72461,7289.689453,17672.99609,17132.29492,5766.135742,1840.577271,682.7598267,12245.96094,5787.319336,7150.92334,5181.382813,3606.34668,10606.11816,9065.352539,8550.90625,5293.163086,4747.612793,8065.714355,5233.652832,1238.424316,925.03125,545.5967407,1504.711548,0,0
Heme,7,700439.125,2681615,1286179.75,608626.1875,781947.1875,2584388.75,1435521.75,1612987.375,653071.375,1232590.625,1799071.75,183310.4219,1975855.75,416275.25,3021428,240571.5625,2371911.25,1158408.125,3786889.75,556455,663422.5,5754.085938,7696.080078,1695563.125,1111830.75,1269005.625,850759.75,931225.5,501668,1405116.625,603667.5,2887854.25,1765771.75,2643257,2536994.75,1848423.375,836823.25,744048.4375,661186.125,1023031.688,1565101,929711.875,1998017.375,811207.75,167711.8281,1923033.875,932236.625,1049150.5,2462718.75,273356.6875,1068678.375,908564.8125,565658.1875,258708.8125,530417.875,338409.9375,151208.3438,877192.5,987627.9375,253738.1406,815390.8125,772491.6875,4504.926758,319182.7188
Hemin,7,18125.5293,63368.89063,32775.22266,24341.14063,29520.2832,58120.44141,37676.26172,44810.81641,15512.56836,33174.50781,44689.21484,7220.78125,39053.08594,9510.478516,83718.59375,8096.838867,92278.25781,35299.68359,110837.9141,19563.44141,16535.29688,0,1314.080688,44764.88672,27252.45508,41052.25,29979.56055,30386.70313,16139.44824,41498.48828,22316.07031,87698.41406,31947.70898,46998.33594,63011.875,46388.51172,23298.0957,12264.37598,19607.58008,35286.89063,32189.31836,21730.82813,71433.39844,23048.2207,3434.409424,52760.14063,30306.92188,22797.20703,62348.97656,10294.37402,33471.60156,23258.08984,21047.00586,12583.4082,19319.05859,11328.92383,4526.596191,22919.5332,30859.70508,11925.12207,23874.88281,24097.79883,0,18618.3457
Hexadecanoic acid,8,34837368,33391174,33621804,47631948,50996600,26856518,40608880,44818468,35859168,16172229,19296334,34174836,23569490,15181180,40857028,15401335,30563616,26233074,38405724,48609324,41716764,28573880,23653888,24476332,21675022,42942676,39815936,26115092,30352740,30438656,30818862,40040436,23549620,22722084,34950812,44304084,38191236,14935493,32588478,35673516,17315312,27403906,25953854,30398986,18610706,35988380,34085444,14735931,33789376,17193386,32162226,31534942,31386586,33832472,42749944,21621216,38164868,42892268,35796128,35813224,25716254,36011912,29711378,27380682
"hexanediol 1,6-bisphosphate",5,45624.30469,42618.30078,35850.96094,28667.77734,31739.33594,27389.26758,38801.23828,34985.95703,33769,31717.60547,22297.63086,34760.80078,26847.22461,20143.06445,26209.26172,19155.65625,23175.07617,26456.29883,29207.94531,48530.44922,45986.36328,32546.45898,34434.52344,17641.34375,22426.67578,29695.74805,31411.30469,31876.61719,36594.51953,28007.09375,37820.13672,27379.45313,25148.13672,32275.00586,30701.58789,22459.56836,37120.31641,18916.18555,26078.86133,30049.91016,30878.28516,62603.35547,35943.01953,41307.99609,45861.6875,36079.08203,22840.92383,31548.4082,40926.03516,30685.38281,40559.16406,25466.01367,37546.02344,30882.85938,35448.23438,37277.38281,47925.01172,36727.39453,30669.33398,30474.55859,30853.47852,17486.76367,16702.71484,28929.70117
